dats	tims	lons	lats	shear	mes		
14/01/2000	18:00	-40,717	26	a	1		
14/01/2000	18:00	-147	24,792	c	1		
14/01/2000	18:00	-179,775	27,775	c	1		
15/01/2000	0:00	-31	22,792	a	1		
15/01/2000	0:00	-142,577	24,577	c	1		
15/01/2000	0:00	-159,715	27,285	a	1		
15/01/2000	6:00	-36	22,514	a	1		
15/01/2000	6:00	-132,866	30,866	c	1		
15/01/2000	6:00	-156,537	24,463	a	1		
15/01/2000	12:00	-32	22,401	a	1		
15/01/2000	12:00	-122	39,83	c	1		
15/01/2000	12:00	-155,639	22,639	a	1		
15/01/2000	18:00	-33,448	22,552	a	1		
15/01/2000	18:00	-109	43,528	c	1		
15/01/2000	18:00	-153	20,336	a	1		
16/01/2000	0:00	-28,532	22,532	a	1		
16/01/2000	0:00	-53,496	35	c	1		
16/01/2000	6:00	158,929	23,071	a	1		
16/01/2000	6:00	-28,377	23,377	a	1		
16/01/2000	6:00	-71,545	35,545	c	1		
16/01/2000	6:00	-92	42,581	a	1		
16/01/2000	6:00	-108,576	35,576	c	1		
16/01/2000	6:00	-143	21,633	c	1		
16/01/2000	6:00	-149,792	22	a	1		
16/01/2000	12:00	132	25,671	a	1		
16/01/2000	12:00	93	27,35	c	1		
16/01/2000	12:00	-27,473	23,473	a	1		
16/01/2000	12:00	-53	31,456	c	1		
16/01/2000	12:00	-80	39,401	a	1		
16/01/2000	12:00	-106	31,899	a	1		
16/01/2000	18:00	87	27,308	c	1		
16/01/2000	18:00	-26,516	24,484	a	1		
16/01/2000	18:00	-52	31,043	c	1		
17/01/2000	0:00	-23,244	24,756	c	1		
17/01/2000	0:00	-138,265	22	c	1		
17/01/2000	0:00	-169	29,127	c	1		
17/01/2000	6:00	-14	26,968	c	1		
17/01/2000	6:00	-164,061	28,061	c	1		
17/01/2000	12:00	78	30,184	a	1		
17/01/2000	12:00	-50	27,106	c	1		
17/01/2000	12:00	-160	27,204	c	1		
17/01/2000	18:00	169,568	29,568	c	1		
17/01/2000	18:00	108	28,882	c	1		
17/01/2000	18:00	-44,684	28,316	a	1		
17/01/2000	18:00	-156	24,777	c	1		
18/01/2000	0:00	66,742	30,742	c	1		
18/01/2000	0:00	21,902	28,902	a	1		
18/01/2000	0:00	-155	22,356	a	1		
18/01/2000	6:00	96,073	28	a	1		
18/01/2000	6:00	-35,029	32,029	c	1		
18/01/2000	6:00	-128,309	30,691	c	1		
18/01/2000	6:00	-151	19,265	a	1		
18/01/2000	6:00	-161,333	33,667	a	1		
18/01/2000	12:00	-18,011	31,011	c	1		
18/01/2000	12:00	-148	18,294	a	1		
18/01/2000	12:00	-168,188	29,188	c	1		
18/01/2000	12:00	-178	31,554	a	1		
18/01/2000	18:00	160,793	32,207	c	1		
18/01/2000	18:00	109	25,003	a	1		
18/01/2000	18:00	-18	32,181	c	1		
18/01/2000	18:00	-142,938	16,938	a	1		
19/01/2000	0:00	162,711	34,289	c	1		
19/01/2000	0:00	-7	25,852	a	1		
19/01/2000	0:00	-141	16,888	c	1		
19/01/2000	0:00	-164,803	27	a	1		
19/01/2000	6:00	166	34,8	c	1		
19/01/2000	6:00	-15	23,663	c	1		
19/01/2000	6:00	-138	17,613	c	1		
19/01/2000	12:00	95,267	26,267	a	1		
19/01/2000	12:00	62,014	32,986	a	1		
19/01/2000	12:00	-16,612	22,612	c	1		
19/01/2000	12:00	-135,866	20	c	1		
19/01/2000	12:00	-169,17	29,17	a	1		
19/01/2000	18:00	78,664	30,664	a	1		
19/01/2000	18:00	-11,537	21,463	c	1		
19/01/2000	18:00	-110	42,259	c	1		
19/01/2000	18:00	-166,8	28,2	a	1		
19/01/2000	18:00	-176	48,436	c	1		
20/01/2000	0:00	87,491	27,491	a	1		
20/01/2000	0:00	33	29,72	c	1		
20/01/2000	0:00	-93,196	36,196	a	1		
20/01/2000	0:00	-163	25,56	a	1		
20/01/2000	6:00	94,461	26,539	a	1		
20/01/2000	6:00	45,775	30,775	c	1		
20/01/2000	6:00	-79,102	32,102	c	1		
20/01/2000	6:00	-159,89	25,11	a	1		
20/01/2000	12:00	98,312	26,688	a	1		
20/01/2000	12:00	82,73	33,73	a	1		
20/01/2000	12:00	53	31,721	c	1		
20/01/2000	12:00	-17	25,133	c	1		
20/01/2000	12:00	-76	29,554	c	1		
20/01/2000	12:00	-162	24,272	a	1		
20/01/2000	18:00	102	27,45	a	1		
20/01/2000	18:00	73,356	29,644	c	1		
20/01/2000	18:00	-10	25,694	c	1		
20/01/2000	18:00	-33	26,991	a	1		
20/01/2000	18:00	-63	29,185	c	1		
20/01/2000	18:00	-111,823	39,823	c	1		
20/01/2000	18:00	-164,382	23,618	a	1		
21/01/2000	0:00	105,403	28,403	a	1		
21/01/2000	0:00	83	26,512	c	1		
21/01/2000	0:00	-1,716	26,716	c	1		
21/01/2000	0:00	-29,914	26,086	a	1		
21/01/2000	0:00	-164,784	23,216	a	1		
21/01/2000	6:00	109,11	29,11	a	1		
21/01/2000	6:00	87,372	24,628	c	1		
21/01/2000	6:00	6	28,249	c	1		
21/01/2000	6:00	-41	29,518	c	1		
21/01/2000	6:00	-163	21,986	a	1		
21/01/2000	12:00	99,183	25,817	c	1		
